Artist,Image URL
Coldplay,https://i.scdn.co/image/ab6761610000e5eb1ba8fc5f5c73e7e9313cc6eb
The Walters,https://i.scdn.co/image/ab6761610000e5ebb22c5d2082459db182c28d10
Calvin Harris,https://i.scdn.co/image/ab6761610000e5eb1e4bcd2bef1896648762dd6b
TV Girl,https://i.scdn.co/image/ab6761610000e5ebd80695211689a9c8c3fee3b0
One Direction,https://i.scdn.co/image/5bb443424a1ad71603c43d67f5af1a04da6bb3c8
J. Cole,https://i.scdn.co/image/ab6761610000e5eb4b053c29fd4b317ff825f0dc
Justin Bieber,https://i.scdn.co/image/ab6761610000e5eb86e362deb9f22566331fbdeb
Avicii,https://i.scdn.co/image/ab6761610000e5ebae07171f989fb39736674113
Pitbull,https://i.scdn.co/image/ab6761610000e5eb4051627b19277613e0e62a34
MAGIC!,https://i.scdn.co/image/ab6761610000e5eb8b68d29a8713b8260aa18e19
Maroon 5,https://i.scdn.co/image/ab6761610000e5ebf8349dfb619a7f842242de77
WALK THE MOON,https://i.scdn.co/image/ab6761610000e5ebab9610e36fae856c0fd9b46b
Vance Joy,https://i.scdn.co/image/ab6761610000e5eb8f074ec8c25406680bf26422
Ariana Grande,https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5
Hozier,https://i.scdn.co/image/ab6761610000e5ebad85a585103dfc2f3439119a
Sam Smith,https://i.scdn.co/image/ab6761610000e5ebd6b2f9db8528fc0cec4cd6c7
Lana Del Rey,https://i.scdn.co/image/ab6761610000e5ebb99cacf8acd5378206767261
Taylor Swift,https://i.scdn.co/image/ab6761610000e5ebe672b5f553298dcdccb0e676
Ed Sheeran,https://i.scdn.co/image/ab6761610000e5eb784daff754ecfe0464ddbeb9
Mr. Probz,https://i.scdn.co/image/ab6761610000e5eb4665e17c6cad3616d170dfeb
Pharrell Williams,https://i.scdn.co/image/ab6761610000e5ebf0789cd783c20985ec3deb4e
George Ezra,https://i.scdn.co/image/ab6761610000e5ebbe936a26ceb9cbbdec7df15b
Sia,https://i.scdn.co/image/ab6761610000e5eb64db06dfda27bb045bc1c2f5
Nico & Vinz,https://i.scdn.co/image/ab6761610000e5eb606d0660ba65b91a1d891154
Ty Dolla $ign,https://i.scdn.co/image/ab6761610000e5ebdeccf223fe80d308aba91b64
Route 94,https://i.scdn.co/image/ab6761610000e5eb33f4f47b1ac051a5461dc40e
Clean Bandit,https://i.scdn.co/image/ab6761610000e5eb70d80b8ab8e193aef64223ec
Lilly Wood and The Prick,https://i.scdn.co/image/ab6761610000e5eb76a8e34c1a5af31964a4bbf7
Henrique & Juliano,https://i.scdn.co/image/ab6761610000e5eb30f0dc81183daaee971c2601
Badoxa,https://i.scdn.co/image/ab6761610000e5ebeeeb2f3391fee4a32fb1742b
Anselmo Ralph,https://i.scdn.co/image/ab6761610000e5eb4ed2f091be3101be0bb64fce
Djodje,https://i.scdn.co/image/ab6761610000e5eb5e3fb71d4358290eda3a43f9
B4,https://i.scdn.co/image/ab67616d0000b2737df692781c9e7e58af61fe15
Enrique Iglesias,https://i.scdn.co/image/ab6761610000e5eb4fa1405802a42c665b0f2dd1
Tiago Bettencourt,https://i.scdn.co/image/ab6761610000e5ebe7cc4b0d97db6e9f67919405
Dillaz,https://i.scdn.co/image/ab6761610000e5ebc442f834a46d7fa862958710
Lord Huron,https://i.scdn.co/image/ab6761610000e5eb1d4e4e7e3c5d8fa494fc5f10
Tame Impala,https://i.scdn.co/image/ab6761610000e5ebe412a782245eb20d9626c601
The Weeknd,https://i.scdn.co/image/ab6761610000e5eb9e528993a2820267b97f6aae
Mark Ronson,https://i.scdn.co/image/ab6761610000e5eb105cc9628c315b29d299fbb4
Twenty One Pilots,https://i.scdn.co/image/ab6761610000e5eb61a7ea26d33ded218cd1e59d
Chase Atlantic,https://i.scdn.co/image/ab6761610000e5eb5d10a5bb5f78cd7819cbfad7
Shawn Mendes,https://i.scdn.co/image/ab6761610000e5eb58b4b9419486550f6fda0535
Bryson Tiller,https://i.scdn.co/image/ab6761610000e5eb078fdd734b7f0aa782328428
The Neighbourhood,https://i.scdn.co/image/ab6761610000e5ebdf0b5ac84376a0a4b2166816
Lil Peep,https://i.scdn.co/image/ab6761610000e5eb3d9d59e200e82fa53d8781a1
Maluma,https://i.scdn.co/image/ab6761610000e5ebc865fa1b398bc1cd02649f51
Robin Schulz,https://i.scdn.co/image/ab6761610000e5eb869ddcc058c5ff2a459ad8d5
OMI,https://i.scdn.co/image/ab6761610000e5ebb4318429cc3c4a3b72f5f87a
PARTYNEXTDOOR,https://i.scdn.co/image/ab6761610000e5eb957320981e31e862bc2fb844
Kendrick Lamar,https://i.scdn.co/image/ab6761610000e5eb39ba6dcd4355c03de0b50918
Travis Scott,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71
Adele,https://i.scdn.co/image/ab6761610000e5eb68f6e5892075d7f22615bd17
Madcon,https://i.scdn.co/image/ab6761610000e5ebf8805c34d9906f9c681d8c16
Olly Alexander (Years & Years),https://i.scdn.co/image/ab6761610000e5eb97c652b3442755c921c1277f
Beach House,https://i.scdn.co/image/ab6761610000e5ebb3e38a46a56a423d8f741c09
Skales,https://i.scdn.co/image/ab6761610000e5eb895b570634504dbec26bc659
Cali Y El Dandee,https://i.scdn.co/image/ab6761610000e5ebda2fa8103c14bed61c439b72
Matheus & Kauan,https://i.scdn.co/image/ab6761610000e5ebd73644778d6848a6a8fd381b
Luan Santana,https://i.scdn.co/image/ab6761610000e5ebfde13b4ff04ee1c0f33c6878
Ari,https://i.scdn.co/image/ab6761610000e5eb6725802588d7dc1aba076ca5
Boy Teddy,https://i.scdn.co/image/ab6761610000e5eb729de9682a53ea031f2b9fa1
C4 Pedro,https://i.scdn.co/image/ab6761610000e5eb995f9bfecb94d91e46840106
Bispo,https://i.scdn.co/image/ab6761610000e5eb0071678960c0fcf6aa57b626
Mariza,https://i.scdn.co/image/ab6761610000e5ebe85bb391e417329646dd244e
GROGNation,https://i.scdn.co/image/ab6761610000e5eb1585d91ee7efcfaab9460172
Deejay Telio,https://i.scdn.co/image/ab6761610000e5eb393c910d42f1f286c30dd24b
Calema,https://i.scdn.co/image/ab6761610000e5eb00a07f6c31b92c8e103774b6
Don G,https://i.scdn.co/image/ab6761610000e5eb2a6dea6d389a0b0df1a53b19
Ana Moura,https://i.scdn.co/image/ab6761610000e5eb118d3f5f4b7ae89e63157f67
Drake,https://i.scdn.co/image/ab6761610000e5eb4293385d324db8558179afd9
Frank Ocean,https://i.scdn.co/image/ab6761610000e5ebee3123e593174208f9754fab
DJ Snake,https://i.scdn.co/image/ab6761610000e5ebf4cebaecf21134c83c4d3655
Bruno Mars,https://i.scdn.co/image/ab6761610000e5ebc36dd9eb55fb0db4911f25dd
The Chainsmokers,https://i.scdn.co/image/ab6761610000e5eb44434ab91c37f5407f8e83b6
James Arthur,https://i.scdn.co/image/ab6761610000e5eb5a55e66595e80fb12dc5f5fa
Lukas Graham,https://i.scdn.co/image/ab6761610000e5eb955b1ec67667a5d67ebba167
Rihanna,https://i.scdn.co/image/ab6761610000e5eb373e1be0410d4212bf72acab
Seafret,https://i.scdn.co/image/ab6761610000e5ebe745b18f50fc3192dadd3278
KALEO,https://i.scdn.co/image/ab6761610000e5ebd12dda5c73df781c0bbfe311
Mike Posner,https://i.scdn.co/image/ab6761610000e5eb85e71ac37632766429b0c2cb
Lost Frequencies,https://i.scdn.co/image/ab6761610000e5eb976d55989fb4a20e346d0936
Kungs,https://i.scdn.co/image/ab6761610000e5eb01acc309b4854bdb74ad0a73
ZAYN,https://i.scdn.co/image/ab6761610000e5eb7a1fba1bb3618ef71355f82a
Post Malone,https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0
Kygo,https://i.scdn.co/image/ab6761610000e5ebe5ea1aa1404629c12ad86658
Phil Collins,https://i.scdn.co/image/ab6761610000e5ebd4e38c4e3e5c82774740e28d
Alok,https://i.scdn.co/image/ab6761610000e5eb6b07a040a57d013a7e49f908
MHD,https://i.scdn.co/image/ab6761610000e5eb45dfc1305248ad28781e04bd
CNCO,https://i.scdn.co/image/ab6761610000e5ebe61627c00d64dcb4de8001d2
J Balvin,https://i.scdn.co/image/ab6761610000e5eb0405b03342c2e56751b9923d
Gente De Zona,https://i.scdn.co/image/ab6761610000e5eb8dcf938a337680db23215942
MC Kevinho,https://i.scdn.co/image/ab6761610000e5eb86190b5139bb76e03b0d35b1
Danny Ocean,https://i.scdn.co/image/ab6761610000e5ebb485cde5cba6de6e5685278a
Ricky Martin,https://i.scdn.co/image/ab6761610000e5eb1c0f358293ec7b223fd91fca
Marília Mendonça,https://i.scdn.co/image/ab6761610000e5ebffaebdbc972967729f688e25
Nelson Freitas,https://i.scdn.co/image/ab6761610000e5eb4640a387e5cb84b299adc67f
Matias Damásio,https://i.scdn.co/image/ab6761610000e5ebd52feae851c87d07fc9ede89
Capitão Fausto,https://i.scdn.co/image/ab6761610000e5ebed40f4d3ca150a21d32f7734
Plutonio,https://i.scdn.co/image/ab6761610000e5eb0953ca7b03a6e3431d31aea6
Força Suprema,https://i.scdn.co/image/ab6761610000e5eb7e304706e789dbae250017da
Tyler,https://i.scdn.co/image/ab6761610000e5ebdf2728294ff77dd11eeb18fb
Imagine Dragons,https://i.scdn.co/image/ab6761610000e5ebab47d8dae2b24f5afe7f9d38
Cigarettes After Sex,https://i.scdn.co/image/ab6761610000e5eb0e871e0389b9722cc12a4118
French Montana,https://i.scdn.co/image/ab6761610000e5ebadb2f8e09c3e3171956aafe4
Harry Styles,https://i.scdn.co/image/ab6761610000e5ebf7db7c8ede90a019c54590bb
Daniel Caesar,https://i.scdn.co/image/ab6761610000e5ebe4d94f7cbebb17504c25d419
Måneskin,https://i.scdn.co/image/ab6761610000e5eb46d0db8a86fda630ec12401f
Portugal. The Man,https://i.scdn.co/image/ab6761610000e5ebe20c61457ea3c2fdef20c326
Billie Eilish,https://i.scdn.co/image/ab6761610000e5eb4a21b4760d2ecb7b0dcdc8da
Shakira,https://i.scdn.co/image/ab6761610000e5eb2528c726e5ddb90a7197e527
Ozuna,https://i.scdn.co/image/ab6761610000e5eb463e10d5f1a533ddd6eb9a04
Future,https://i.scdn.co/image/ab6761610000e5eb7565b356bc9d9394eefa2ccb
